,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Power Industry,Bermuda,0.16962323,0.16962323,0.16694147,0.18815835,0.16758602,0.2085631,0.2234816,0.2310681,0.2752959,0.2393912,0.2393552,0.1937118,0.2020582,0.2146952,0.23147522,0.2305244,0.21363181,0.31795169,0.34843506,0.34898696,0.25200301,0.25078528,0.210348007,0.19525962,0.18764098,0.213910847,0.22096759,0.199908934,0.202431581,0.174976133,0.19186563,0.19626612,0.2051768,0.2271064,0.2392617,0.2504598,0.27342733,0.3125234,0.30853586,0.26111841,0.360152701,0.249664513,0.265684184,0.272230363,0.34587719,0.29097048,0.35581449,0.22202266,0.21560964,0.21044747,0.1819573
21,Power Industry,Bhutan,0.001458563,0.001458563,0.002993188,0.004480457,0.005297226,0.005396628,0.00617147,0.00962053,0.00701242,0.0077264,0.00796246,0.00817534,0.00833261,0.00829448,0.007528693,0.00888229,0.00936409,0.01190682,0.01154398,0.01018461,0.02230417,0.02204581,0.02332141,0.02468023,0.01795745,0.0286511,0.03064897,0.03456794,0.0451375,0.04094885,0.05611792,0.0754692,0.0858652,0.08599493,0.08357871,0.122371,0.1152141,0.09345703,0.0924572,0.0867468,0.1006442,0.0970235,0.1061224,0.1126062661,0.125401064,0.17169056,0.177266369,0.158613763,0.163316649,0.231408669,0.228882015
22,Power Industry,Bolivia,0.2184104,0.2184104,0.2365894,0.2467753,0.2669923,0.2859085,0.29238466,0.33384576,0.3789914,0.4004925,0.38393737,0.45427245,0.37147069,0.41791064,0.44551928,0.42976443,0.48507973,0.49440653,0.48050202,0.56936,0.71531864,0.63223647,0.8370066,0.76668255,1.03118177,1.21439169,1.05508587,1.26891835,1.46918329,1.0334627,1.22410894,1.01907937,1.08896675,1.38719618,1.34237205,1.62141119,1.7387227,1.92714075,2.19329005,2.41990518,2.92566608,3.14661385,3.28382303,3.17594307,3.62128729,3.75902894,4.54751473,4.30847534,4.34161915,4.32657355,3.57896243
23,Power Industry,Bosnia and Herzegovina,3.01544218,3.01544218,3.2627095,3.642269,3.5977566,3.9550146,4.8005537,5.058207,5.6775,6.2512079,6.3539108,7.9673342,8.280244,9.629212,10.5306652,11.1648364,11.5166871,11.2355536,11.734943,11.763974,10.723479,8.699607,6.88167,5.9755466,0.6853951,0.7904351,2.0971701,5.8343481,7.9307236,7.8108176,8.8604503,8.706006,9.507627,10.277333,10.143237,10.369766,11.692252,12.242006,13.2787079,13.62131859,13.3931324,15.97686536,14.76498959,14.5479182,12.2617849,12.1197913,14.2964295,14.6516907,14.71763323,17.07695472,14.36568717
24,Power Industry,Botswana,0.011057764,0.011057764,0.011310394,0.008545124,0.001441327,0.0047665621,0.28203957,0.30104427,0.30400824,0.45144528,0.46630804,0.6333727,0.6886547,0.632587,0.566314,0.605836,0.7595177,0.7818474,1.060944,1.1714514,1.5232954,1.403483,1.6483313,1.640171,1.6581263,1.750139,1.314884,1.402736,1.3158003,1.6603963,1.6603963,1.244286,1.3109077,1.3734347,1.6124429,1.678149,1.276382,1.075452,1.05365,0.939756,0.567032,1.0717846,2.063639,2.316216,3.751209,3.814382,3.6227167,4.2846892,4.47178859,3.85065919,3.6161171
25,Power Industry,Brazil,7.46168404,7.46168404,6.04920268,6.57142086,5.79396009,5.81619675,5.74102102,6.36935494,9.04949331,8.6442758,8.93171932,10.5741577,9.7368088,8.6825656,10.0129373,10.0779958,16.8919488,15.0567691,14.0721081,12.5969046,12.7614648,14.0343064,15.2280243994,14.4395104983,13.6972555804,15.6666907216,17.0642984804,19.7046396906,20.56774655,28.22849366,31.43851975,35.3468296,30.292763,29.2933669,33.7122045,34.466539,34.5344731,32.7546484,42.2882128,30.39413957,45.4100568,36.873885049,55.567328414,78.057557115,95.784062396,92.083956269,70.192153458,68.699434416,66.760529011,65.18895749,59.007697494
26,Power Industry,British Virgin Islands,0.009024293,0.009024293,0.00888163,0.010010406,0.00891593,0.011095981,0.01188964,0.0122933,0.01464631,0.01273611,0.01273419,0.01780102,0.01750694,0.01759646,0.012999157,0.013315531,0.007940396,0.021120969,0.02126284,0.017578464,0.0178846439,0.0203150949,0.0218663673,0.0174237166,0.0173746676,0.0193112674,0.025008608,0.022626715,0.022912252,0.019804943,0.03479258,0.03591221,0.0377358,0.04472319,0.04782998,0.04891383,0.0515065,0.05254471,0.05826584,0.06568506,0.078939978,0.086660992,0.084976055,0.086681009,0.086401827,0.08673313,0.08445127,0.06371734,0.06187678,0.06039533,0.05221915
27,Power Industry,Brunei,0.2318503,0.2318503,0.2318503,0.228664,0.2318503,0.2318503,0.2318503,0.2318503,0.2318503,0.2318503,0.3183003,0.4386343,0.5258703,0.6329083,0.6955723,0.7103263,0.7212727,0.9678887,1.0182067,1.050903,1.088263,1.167373,1.293703,1.451343,1.6417993,1.7398593,1.8236193,2.0701056,2.178216,2.0338056,2.0324056,2.071456,2.221586,2.634475,2.6920803,2.6260513,2.7826696,2.5227596,2.7211856,2.864027,2.783296,2.6842123,2.8553223,2.7299893,2.8195706,2.3796376,2.5850696,2.6447772,2.863526,2.988207,3.066721
28,Power Industry,Bulgaria,21.20984,21.20984,22.65686,22.52973,24.07426,26.2075,26.37917,30.37451,35.63522,36.6958,36.76975,35.42651,37.04927,35.65455,34.61323,37.26996,40.37047,41.48141,41.162724,40.742264,44.0898262,38.55844301,36.66869883,36.85249183,33.79812117,34.177352211,34.486583894,28.87260587,28.388611102,24.251408302,24.010670553,27.391973798,24.7583344,27.4567820597,26.8163447704,26.9761472506,27.155352407,30.670834864,30.91726342,28.226427793,30.110254103,34.660719705,30.009588654,25.957175706,27.635349639,28.292032792,24.9515905049,26.35656544095,23.40487850922,21.87446004046,18.12747089711
29,Power Industry,Burkina Faso,0.001262048,0.001262048,0.001512522,0.001512522,0.001429026,0.0019314817,0.0230731,0.02251255,0.02544628,0.02726962,0.03789303,0.04581129,0.045739,0.05012636,0.05365702,0.05096269,0.06767922,0.07166121,0.06995404,0.04726724,0.0701703,0.0996743,0.0838146,0.0887277,0.0939001,0.0896254,0.0993527,0.1598082,0.1590293,0.155979,0.1697441,0.2022111,0.2151105,0.2330531,0.2128977,0.2202806,0.2353308,0.3168293,0.3518441,0.3303138,0.342314,0.39139006,0.4100549,0.46744519,0.4347743,0.54641118,0.4769695,0.5647768,0.5937697,0.5987574,0.5341909
