,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
14,Bangladesh,1.83135854665017,1.70316060473379,1.70376162831246,1.69474299811121,1.65226707323336,1.69073213608258,1.61577557715928,1.59596207244709,1.59695070769476,1.57793075685243,1.45891842659095,1.42630427327204,1.4111139240386,1.3173045347769,1.31205295868681,1.30506328948427,1.2999791918791,1.25878279618645,1.23799115719316,1.24177941706865,1.21643678992128,1.1750091228612,1.16361421181574,1.13568643218046,1.13021789850509,1.15126581463086,1.13555647507284,1.12279685329438,1.09503514651266,1.12037200358132,1.1201185085405,1.14442640572505,1.15387925563148,1.15808719272776,1.15222759653206,1.17608495873059,1.19801893010956,1.21763517362107,1.27478189545383,1.29361139983665,1.33918315648187,1.34975091841077,1.36523371273806,1.37224460485609,1.3959362382067,1.45909967808522,1.4587284210383,1.50983504897679,1.54415276895874
15,Barbados,3.81922764757307,3.83082599748199,4.24300488226979,4.54833924606414,3.87746578689836,4.60208031197678,4.14803815619886,4.51631763961039,4.6298649079138,4.39973746713412,4.40188932891923,4.53905047782565,4.44843483203279,4.76267478940968,5.21462014304273,5.66183371401248,6.26213740503874,6.28317825182913,5.7558767018391,5.94505964363685,6.00879347227006,6.18050454505924,6.27294448833625,5.65654235928989,5.36378102798008,5.44361945331245,5.05294810995161,5.80179047338448,5.94328830963079,6.1750513616132,6.39580048813432,6.34765669294179,6.10361887715982,6.44476813058939,6.5267437643857,6.43238736737829,6.18693272285209,5.81849971067753,6.60164969115022,6.69727653104907,6.51076388969666,7.30336700984615,7.2198973755837,7.69110418686927,6.59300352044228,6.77085643216191,6.6698003079718,5.58388261275764,5.43566746820841
16,Belarus,10.5523775364198,10.6003012530552,11.1692700254662,11.8099953496359,12.1613533487611,13.1131479511649,13.0683592470315,13.4267320318132,13.5212954411716,13.9715649542406,13.9456246812311,14.3020046930091,14.084757284289,14.0857179578042,13.8693419260606,13.7847983670487,13.7618268756939,13.6286529489585,13.4145481970476,13.0287891239694,13.7051426777736,13.1864750787181,12.0246112259808,10.6091414244461,9.22892157123155,8.40150068833541,8.46720879507533,8.52088640769218,8.363761436933,8.12379881255543,7.86890084698064,7.79107322765364,7.84995782254407,7.9694487853875,8.44100302215931,8.53828249218658,8.87134722117219,8.75878909144132,9.48693649094493,9.20037914963878,9.73805789488492,11.0530643004847,11.2336847344857,11.1633297347245,11.1749498552324,10.6607592180735,10.680852099677,10.7254433801153,11.0111053542349
17,Belgium,17.4739843639146,16.4154149318047,17.5636464072333,18.1206185049532,18.1483170377728,16.0887128706872,17.0284944388799,16.8937974300241,17.3249473298951,18.2630140978214,17.1821737213502,15.9856864293461,15.1159462370512,14.1744219964208,14.5754031308235,14.3050642322552,14.2719529948593,14.1653144221012,14.2084330139008,14.2632156557541,14.3778437613866,14.7325520315792,14.479616670457,14.2456694494175,14.8098597616698,14.9687916336723,15.4310517418499,15.0559511558937,15.3878137105846,14.9811677979191,15.1895868279447,15.1778417430579,14.3793414886851,14.747774868561,14.6555605832114,14.1534085498225,13.8358898889627,13.4217146688391,13.5065361873651,12.6170632977002,13.3685340838318,12.3318289160048,12.0598478316512,12.1075286240269,11.4397439747168,11.8097340046441,11.6290785959364,11.3717746514668,11.3548516895726
18,Belize,2.89163587262386,2.97593055702481,3.15586352687779,3.26653175316165,3.05456583432161,3.3786976301485,3.16213504780681,3.28164592020583,3.2969313782,3.1632324637282,3.12876300659777,3.01828557267901,2.82779333660579,2.78991905419,2.94648938344741,2.83187067631671,3.13003964970057,2.87226176479817,2.46209463723729,2.87205123984435,3.31041261771842,3.55888566524071,3.31623616209328,3.04927642815447,2.91630815304753,2.88132101831959,2.60484946641304,3.25186484212664,3.08988214462783,3.13294164247435,2.99624424697486,3.04931201997704,2.83799264181588,2.92094418843942,2.7790691160175,2.77956127231504,2.94507678770931,2.8108633314082,2.69001339470529,2.94621803601882,3.01023945623893,2.89401842994449,3.00611444028665,3.23750133617809,2.96894309822488,3.10988953232588,3.07141071903701,2.76202082098281,2.68921984827572
19,Benin,0.811310736933744,0.824537666409303,0.873732796789403,0.89867010543122,0.872607890937922,0.910480486327273,0.852085293965338,0.865605185964048,0.873727378382662,0.883674725711939,0.902535013007447,0.878577161494101,0.894399949608026,0.902808319385027,0.907997786521112,0.933848676708431,0.848456151226445,0.819549992010386,0.792828748215035,0.763312920246821,0.777490698923286,0.770770076219722,0.768196080376035,0.754188801969035,0.7815422001117,0.722345493065728,0.858284988566219,0.89087229881645,0.862711846001012,0.888670388262755,0.899222331965317,0.946821896464963,0.983635738766588,1.00443164550846,1.01996076339143,1.04108299265669,1.16856240632793,1.22397398777842,1.20704654671208,1.23344421700487,1.29396629412969,1.26989966149007,1.23173821091884,1.27224993634959,1.28105686977809,1.3013013476302,1.42816586654167,1.42714095502453,1.49600435114776
20,Bermuda,8.86614646646574,8.78866242341168,9.67480493470508,10.3444379329163,8.76339669067362,10.6004232036228,9.52643610482679,10.266844679659,10.6168823725373,10.0222246544511,9.83555995410778,8.74569023314821,8.84380155043629,9.45010167663821,10.2236886873013,9.71546559474589,9.67985204033794,14.0980459874743,14.7481969366249,16.4519898875082,12.4630050080522,11.2000895629117,9.15686622452509,9.67938344348848,9.30321009184926,9.35561807895024,9.63870334368313,9.28699155434032,9.17528134870972,9.33082752433596,9.14041746359585,9.03572569009915,9.00498992340645,9.43665667187016,10.0404261713709,10.1138826448246,10.848501801014,12.1381956803861,11.5235529023197,10.4177184401344,12.3560704769666,8.8988370594633,10.0632377610282,10.6957410818995,13.1538779858742,11.0805976598258,13.4001022710104,11.2797490075824,11.0353316684267
21,Bhutan,2.29951557781488,2.26005264985796,2.23781236821138,2.2147772486697,2.19843564546089,2.14653997761938,2.12190382399367,2.0992772804645,2.09015797986935,2.0749041832913,2.05814543763652,2.03221025616422,2.034919948005,2.05612903797798,2.04564038245306,2.08408730979271,2.06543082803831,2.14549918294992,1.93897597514654,1.88962530614579,1.98957016470905,2.02387976138292,2.0042282900449,1.97616023834071,2.07744597514943,2.5614479704752,2.65664957205256,2.65611895198968,2.58338230425981,2.64273032567368,2.46524820951483,2.37323749593574,2.40593107823474,2.28799144904106,2.17043082711736,2.51758223572604,2.45932059860821,2.29167118692512,2.30486312700772,2.63008836215397,2.77203390957987,3.02142201730685,2.94354109523103,2.84676820833443,2.80788417080883,2.92513008010415,2.95542295986349,2.78989844650942,2.92920988733045
22,Bolivia,5.40139530840458,5.51637792007904,6.31880478127053,6.48906357030637,6.33429582359853,6.03920994977523,6.16506194784778,5.68204997273353,5.77894852719862,5.35903507196071,5.15295772361524,4.73970733555525,4.81288403345174,4.87082268235255,4.53075236396531,4.46978425517716,4.04250913755559,4.12645262102306,4.16328104986502,4.31380705285915,4.18000852012288,4.29769198146528,4.43022020994191,4.5695935078817,4.77482039011554,3.84306246984566,3.67857866422508,4.05321554250104,3.65127824884995,3.56586410977462,3.63652720111707,3.3350557708845,3.44061063934047,3.58859986365918,3.70347872509978,3.80942042132856,3.88302146808691,4.00085187748887,4.12612833362224,4.17976616790162,4.39256720187632,4.54244882108645,4.78441451016121,4.86658061912775,4.92887051678392,4.88234412581769,5.01441676646133,5.11067719715518,5.15523869382299
23,Bosnia and Herzegovina,5.30648985468916,5.27198565881479,4.93061876779635,5.25290759099855,5.57605068043271,5.68002228841566,5.23629738343835,5.54729777687863,5.39362519003029,5.27749052612225,5.16622008918542,5.75754200911642,6.23391111582145,6.56747609321038,6.46090013949004,6.59698416613633,6.58098247381254,6.28781872640493,6.09930252168813,6.18568536704205,7.05620077310799,6.52370897313777,5.12243272516004,4.52914137599202,1.55836443688874,1.60637376744934,1.82437473636957,3.20203203277363,4.03921362013745,4.16665685323013,5.15293792741786,5.00936156008449,5.30604082177004,5.37728021991904,5.79084324856807,5.97828615763112,6.54154443945174,6.89491616769253,7.26513653467439,7.23742416594253,7.41422676278671,8.3531563009541,7.87742974286003,7.92359361356394,7.51852025720422,7.5585333571212,8.43594899242543,8.62253349751777,8.75368561852463
