,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Austria,0.218138040445568,0.223784606161352,0.202252836213803,0.201506646870618,0.198596989056541,0.203088333997181,0.210228105946406,0.204886375550778,0.199383261606059,0.187200165354586,0.182847539660033,0.193148508802008,0.194191156340618,0.205610169687359,0.203129463993162,0.200948864741499,0.189101093383468,0.175660085726608,0.171520561044755,0.162599689258715,0.173210067781835,0.164892146418555,0.157133624047047,0.158636262091636,0.149968867037594,0.151067626105824,0.148154984491598,0.150297048650214,0.141492701518364,0.143211940463452,0.137526089487611
11,Azerbaijan,0.983828448544743,0.964603133587694,1.01475414192338,1.16042814660879,1.2849671836903,1.41334615265522,1.16926416445068,1.07554229618492,0.978005545476765,0.899853328212463,0.857991195908581,0.743150337155233,0.67310861777836,0.668223155359595,0.605751107277424,0.50310190893181,0.379375474874871,0.274827022073982,0.27453103376208,0.209982815436095,0.191048123020569,0.219462093530415,0.236435445424124,0.230193338745891,0.233423772630599,0.228861600905928,0.239107933461775,0.235666542427829,0.235416049970967,0.242910001382748,0.244717690244577
12,Bahamas,0.282321204173623,0.276241586964795,0.24734170472763,0.23786562267271,0.253741506107568,0.28624390344959,0.311366115827396,0.270134040894649,0.311409886606096,0.249982839517408,0.260844493951425,0.258153658926573,0.245489577614873,0.186337748611197,0.207701184553507,0.186254038577353,0.203034283399396,0.225396327329808,0.224311788198326,0.193665099786871,0.205750737161793,0.197773784042883,0.237139664689616,0.243051105131969,0.228591866698655,0.212802894832703,0.212624220765185,0.166021434178352,0.156514410530209,0.150952941112244,0.156043128121376
13,Bahrain,0.626362578134122,0.542904265552098,0.598854428007741,0.574154651478272,0.586156445332119,0.573243920666396,0.571073634397474,0.569740644531942,0.576942905586459,0.555525798248765,0.541109032899838,0.54683453545165,0.552607479541606,0.538221763684298,0.503585901577959,0.553499911885035,0.566115584155682,0.531039081424927,0.534952940130031,0.521491103927425,0.521198408876717,0.51400375358617,0.505709525471349,0.521123907116355,0.516330058597723,0.50904102097221,0.490344968020762,0.474080355975983,0.468796698887751,0.490492264569146,0.526510526140087
14,Bangladesh,0.0920107807105164,0.0845841796647482,0.0896702397248777,0.0903949789146077,0.0939899086446496,0.108992756095151,0.106130455436215,0.109260410100845,0.106150259579399,0.108464763541087,0.111431349835128,0.124417709261751,0.126147811199669,0.125549863282756,0.126008871946418,0.126027603311142,0.127025266986984,0.125504796983736,0.132423975034982,0.133746242804085,0.140542994750666,0.139491988525571,0.139298077282349,0.135989336740043,0.134967746028515,0.146957885349478,0.142299056283974,0.140823183312115,0.13697466153612,0.142125632481831,0.13674303180455
15,Barbados,0.350964980627705,0.38010157536852,0.410864674884661,0.363221841180728,0.335729734094656,0.33683859240018,0.295766424249808,0.337113426154147,0.334411419613414,0.34923607070481,0.347986493374305,0.359360220194048,0.345093270236318,0.361844954369697,0.363103425860325,0.344455879548267,0.315472089610815,0.289479411973828,0.333162649776646,0.358780450219871,0.35772023690333,0.409925283406473,0.409058891607244,0.447630798257388,0.378835578026669,0.382559302220197,0.367814553617247,0.300072563464499,0.293283829964003,0.289142664679349,0.307353230699461
16,Belarus,1.20265348754536,1.16993057227216,1.16869397666241,1.08919065302106,1.04411012969419,1.04191323806883,1.02957166523046,0.933117959662405,0.83732838310882,0.778316358045491,0.708271646566226,0.663001128415583,0.635143827774224,0.600871954516669,0.571950175930439,0.531157932236392,0.501833322596865,0.451760810529383,0.4307731068542,0.409126618849143,0.406494244660919,0.368124200253919,0.36957755783836,0.365150112257462,0.355711156633332,0.344286511148056,0.354102377398497,0.351540921750993,0.356566927002614,0.345060993527588,0.327660361260342
17,Belgium,0.329562171476649,0.334472509882757,0.323716294851368,0.321573105065987,0.325197020178404,0.320900029383527,0.329130907304707,0.309572422442015,0.311961037648773,0.291159897367955,0.285090205097648,0.284440033147266,0.263354216722753,0.27139936204543,0.260110141428467,0.245770352144438,0.236254331736366,0.220487717413748,0.222834921752109,0.211296356721182,0.220998435669562,0.197380894132597,0.192616786041299,0.194203119518066,0.179112178999475,0.184306750451576,0.180285256475919,0.174329522787339,0.172555969263855,0.167122362148006,0.15092015502198
18,Belize,0.332360046637683,0.360218014206807,0.270449953185934,0.232091925013854,0.21795790106807,0.247004719310876,0.203541394381219,0.311581608804944,0.287348530018649,0.278481832243633,0.245816260447085,0.243975448905157,0.209538311746008,0.20803035029208,0.187385375503299,0.190842223493805,0.184477441284067,0.164864437751469,0.14438998369063,0.175192347110647,0.192354530790485,0.167315047889294,0.1911686966075,0.220594644171967,0.199379738833771,0.219231609707267,0.210107626784047,0.163953840441326,0.154753683183325,0.16409803542129,0.165682516818548
19,Benin,0.0383429374309775,0.0325605157418585,0.0343661583027844,0.0329087207456024,0.0328013751424956,0.0315840103149859,0.0791174095591159,0.0947306788846511,0.0878298465586658,0.091667921380525,0.092377182691313,0.105141218111707,0.115948761924717,0.125393833816986,0.127937594278064,0.137751548424901,0.181942093283776,0.195099854730547,0.184679188368004,0.193557503278558,0.204906638690099,0.195369154900643,0.177153532784922,0.173061680032167,0.173081194940594,0.186215329199092,0.223606713181231,0.21627787383711,0.22284819236401399,0.209877592282726,0.182332120843056
20,Bermuda,0.16018080720093,0.153787868846262,0.122444496311904,0.126109853683854,0.119735255386148,0.115966132406972,0.117302618528021,0.106401860779264,0.0993265925634745,0.0983337399890133,0.090030946021146,0.0848723658792851,0.0853660064158969,0.088226847487785,0.0905974366812147,0.0904376768049017,0.0931132328536995,0.102310058511366,0.0992199715716496,0.0910347779542501,0.113761675930132,0.0838975745081008,0.102452441684492,0.110597266349714,0.14382117021715,0.117223284910986,0.145263898020373,0.115543927080101,0.11272570856004,0.109548100558658,0.0984439046755167
21,Bhutan,0.110101340702726,0.1118140645907,0.108645437070741,0.094279360987473,0.113448128462683,0.14700620478456,0.153805514677441,0.164875553393273,0.158000747771925,0.164371456761185,0.144377456492421,0.143423477584901,0.148593356796232,0.126119826990365,0.106399082146031,0.141601787725801,0.132916556655288,0.0895439824005926,0.112382430235786,0.14814306281411,0.156506198553328,0.181507938269706,0.170943269621509,0.160544044144343,0.155716364459222,0.165866137117053,0.15881717497012,0.138031035607439,0.15068532352842,0.162688092144659,0.173196751837337
22,Bolivia,0.20756104064747,0.205286585733324,0.218046732484071,0.248139277781578,0.254693564985997,0.219902167255931,0.198214529111418,0.207330529037406,0.189893652303512,0.180323358951791,0.182128669938291,0.167344729523432,0.171122668478918,0.182223545108958,0.186686558066863,0.186686864406858,0.192105116893528,0.199704643452168,0.205128964261898,0.210865528607433,0.222254416465954,0.229853465024369,0.242921555498861,0.229728715904082,0.235276141746983,0.223853667204683,0.238704874432632,0.248318162535537,0.244138592064712,0.239033115153066,0.222919978159446
23,Bosnia and Herzegovina,2.99794759293931,3.14543150860841,2.5044305663584,2.14068425828311,0.519056449719227,0.456571235981075,0.301274558026004,0.440550228071774,0.481980888287779,0.4336494705371,0.537965205366071,0.508656588825341,0.507998208254665,0.500197234422792,0.497510843648838,0.480422726728468,0.505375994591702,0.503701293568631,0.524283431285528,0.540612020297619,0.549174337025288,0.618413944527906,0.575718369858193,0.560272727534793,0.495951336490059,0.481735423315976,0.526357428847347,0.520641882269185,0.503758101426727,0.55132976681342,0.498072612086782
24,Botswana,0.242172654265742,0.222919512196111,0.263507384547961,0.255012887152731,0.235977490192961,0.229368713568956,0.19542415308026,0.19259000063635,0.228169210414151,0.21922822506485,0.222705962150911,0.215326320460729,0.212149491257368,0.198183726912686,0.194117692560851,0.199215294214932,0.175508365058434,0.17050905702905,0.162808742899322,0.167206593277641,0.124993046742211,0.138349151500776,0.164678843675783,0.160249087983124,0.197649573473371,0.203349806032097,0.192570378473853,0.206478783265119,0.206220753144677,0.18463361044393,0.187028075654972
25,Brazil,0.145631694534414,0.148019381977697,0.150885080907786,0.150904181525999,0.148011380055251,0.152608000952626,0.161824186254972,0.167070432270976,0.171565425518541,0.175109493333447,0.179004399645838,0.176916143974099,0.171536119150436,0.169651920405367,0.167642451596748,0.163677468053634,0.158734619666961,0.156240268172211,0.155903664716505,0.146053433877677,0.153902549327141,0.15479038264454,0.1636091626313,0.166453688911491,0.173957616215512,0.170114018162626,0.164563027294529,0.164939407632586,0.155263128765544,0.15307884373506,0.151132614255449
26,British Virgin Islands,0.222497280366376,0.157433760430374,0.149229391847636,0.107742652334353,0.0738234594946701,0.0607401824507409,0.072707984590294,0.0539737938292484,0.0658506211529199,0.0677324400987326,0.0855334664351922,0.0711463320816735,0.0674516828733183,0.0924221774113855,0.123868486071578,0.0995408213808502,0.088720973571261,0.10477670864833,0.118460723462021,0.139474498018932,0.172947496379381,0.149610628804978,0.21190694506691,0.186557598489464,0.168087244538808,0.172646665407295,0.164172839526527,0.163062164219275,0.153577538325016,0.146105341301774,0.134941946909708
27,Brunei,0.181405958429996,0.195074345667474,0.196038437728276,0.203672514805492,0.211825526698374,0.218313284660373,0.2225565054789,0.251538437426338,0.215323245400601,0.205446276942049,0.21259581307975,0.206415996141508,0.195248290934084,0.225846569443839,0.207604988624541,0.20310754758914,0.289412050726135,0.273990493934437,0.307900534669595,0.311659777824067,0.27868023734951,0.275043563546581,0.271271758557027,0.273636766196476,0.274236452962827,0.248791363481372,0.278079503685925,0.287512689628457,0.290818048147972,0.297631504841543,0.293084427166111
28,Bulgaria,0.751917276655351,0.665497571705906,0.688414122810646,0.707503895549195,0.664996483746014,0.660256455471398,0.631871016365482,0.725842768004884,0.65395420315891,0.627148213631889,0.572852993173257,0.576046337890485,0.513402043821433,0.548607809220813,0.494888103851166,0.47353390054254,0.453954839832322,0.457117769387468,0.407654202147044,0.359467801710603,0.377175121774493,0.407933298439852,0.369793746683309,0.329239846453479,0.341573956913789,0.345493411709202,0.312792314869109,0.316902479646379,0.286178681031698,0.265692034660284,0.245147335682978
29,Burkina Faso,0.0437103417350336,0.0542569920818553,0.0485723235983714,0.0494246662603324,0.0534168597388596,0.0520767839197788,0.050855229222718,0.0798869190437282,0.0693387157776589,0.0673164378648981,0.068125157475425,0.0727095507692972,0.0713012102818934,0.0741528160083423,0.0632816858262314,0.0608674620518991,0.0571283884203176,0.0760742881376494,0.0851806232092988,0.0785134936403629,0.0764660749465537,0.0768721516197325,0.0848274883261441,0.0936430434034055,0.0809476195131449,0.0996913310772491,0.0788528754837496,0.0869970945511425,0.0855399684573966,0.0816391003232096,0.07195636104378
30,Burundi,0.0363999829104357,0.0471517650037054,0.0385464770269528,0.0456000896814376,0.0496990173275577,0.0533578479576928,0.0614589478432815,0.0652458077559764,0.0654300427544779,0.0687240337858805,0.0641868558748805,0.0501920597738216,0.0434373058836285,0.0365701781762048,0.0427541585084241,0.0342867255394867,0.0396694691077316,0.0615749837238167,0.0359155891869197,0.0336150769216447,0.0351119686195972,0.0397182281868196,0.0364530333624818,0.0411800357222105,0.03209637257883,0.051044705626665,0.0614048677870532,0.0342035955387306,0.0366402130529718,0.0375004125005107,0.0329772321276632
