,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,Austria,0.283659662086096,0.287970320375035,0.26352693976513,0.26250081928658,0.257858166776986,0.260652866327292,0.26679887733082,0.259540665734438,0.251144299645644,0.236735325076112,0.229986860720444,0.240330668881825,0.240743315195753,0.253202849600154,0.245890327005414,0.242128213443002,0.228146992337425,0.212682564833259,0.207902312653703,0.199509511807313,0.210648367875821,0.201071526300652,0.192721862828187,0.19472654872281,0.186006980971562,0.186174739638816,0.183056265618165,0.184395801389601,0.174672855037158
11,Azerbaijan,1.23792440549152,1.20550671276021,1.31021125940145,1.51182226916898,1.69599017286236,1.87071094932626,1.62157999614388,1.51168750351941,1.38660275028496,1.31495058337288,1.23994764578233,1.10335719584704,1.00398359179599,0.981285238680575,0.898451646568731,0.751390497481584,0.576138917388518,0.470742356709275,0.473548353083112,0.383146029509876,0.359293942649814,0.387357761478661,0.405461105822399,0.393124777894933,0.396012844804403,0.390331776712249,0.404092354813676,0.39956266431331,0.397410257746473
12,Bahamas,0.307528370121444,0.302523021165574,0.274752632356379,0.265295912607977,0.281224385270046,0.314435693216765,0.339814398723361,0.29671453075503,0.341262751130883,0.276596196083506,0.287427762002268,0.284619197985103,0.271371111719297,0.211346534924511,0.233383300614429,0.211214165925535,0.22817805334983,0.251257845080169,0.250963772729788,0.220634214075186,0.233084698442399,0.225277730467868,0.265123964996347,0.271753458122783,0.257167620614362,0.241173805854562,0.240933750299789,0.192591479689047,0.182462260039315
13,Bahrain,1.46035441763159,1.25270093667021,1.35430207247046,1.28264906171231,1.28794172729199,1.23339652954235,1.23003174861911,1.12566772913676,1.12584694366765,1.1363373223897,1.0970922850822,1.10176959261551,1.06058054174452,0.995114312785069,0.928973425931329,0.959272568395544,0.942909261533784,0.894267880428531,0.906782251472014,0.893637310230861,0.867984688346211,0.857056278455256,0.873400680154904,0.909025463867269,0.89943066770066,0.883433748179574,0.854563549144096,0.81864386281338,0.817059902133017
14,Bangladesh,0.824922404383128,0.788395805654113,0.757441192551355,0.721696118292252,0.706449822124207,0.699425719004798,0.674279947656271,0.651656243094807,0.616911637554048,0.615336974475089,0.595821962276922,0.59045909171889,0.584021480514293,0.569533428289674,0.5473017512233,0.532243600762429,0.515123272938791,0.494996471875042,0.494368838580639,0.482868990560161,0.478828575200233,0.458556408180556,0.44055533993258,0.422645029481681,0.41009030600061,0.406818281881476,0.3838290010745,0.374207054682952,0.35847010649638
15,Barbados,0.42876417442861,0.460502058805869,0.497326134879522,0.44646428404382,0.416472712375701,0.415808702801145,0.372583665712316,0.409980197015497,0.406407447191457,0.422373867991091,0.420286922945549,0.428555950844262,0.410058396949225,0.424976502353099,0.425689847771438,0.404929172245296,0.369151542649544,0.341060416089202,0.385898807977038,0.414142890614801,0.413656400600115,0.468883635045796,0.46727922174176,0.506534358702153,0.436103258299366,0.438446251237609,0.422610904798542,0.353025446477818,0.346470293037057
16,Belarus,1.54489039639706,1.5059064637487,1.51806903857739,1.44678357285324,1.42153730570962,1.43988065881284,1.40699581615636,1.26649288201744,1.14225314369511,1.06806138668879,0.972614064809542,0.913928862794253,0.870764055810985,0.820203569354618,0.77443223465441,0.711952294740456,0.669226754118304,0.605986214798131,0.593767247970291,0.573408079916355,0.562231657313732,0.605289596608405,0.605180403980801,0.595866146850197,0.586731570533079,0.582079864562695,0.59793107351447,0.584876195026248,0.581124004607784
17,Belgium,0.406527858461375,0.410403673180828,0.398808161699574,0.397771328449334,0.40207036899321,0.398107726998758,0.405924209132688,0.382160438761774,0.383574745797576,0.361291538692021,0.354113875361904,0.351250942444695,0.328642426191407,0.335341563855631,0.323641111070277,0.30740702561362,0.295051316551167,0.278101193764647,0.280733494126806,0.269668163220109,0.279778558503473,0.255507985447951,0.249624717028556,0.250996535704407,0.23488495075462,0.239085703041551,0.233935538270185,0.226514398042622,0.223550202884483
18,Belize,0.681850580765918,0.670169142247816,0.566581968349569,0.498529746577392,0.485811798096516,0.489417042472036,0.450371063301423,0.563142652806701,0.535996187684808,0.518571928439975,0.454031027063288,0.455095109115187,0.415872466808633,0.40182593730697,0.374266923002529,0.376766330504875,0.390867466237369,0.380936619806636,0.361423519986388,0.405004036184068,0.411565357235552,0.39737303123933,0.412219287544662,0.447984339275317,0.403500853158846,0.420702754422149,0.424498582691464,0.382835655114128,0.369714426359192
19,Benin,0.357433500976114,0.351654528327814,0.352462864008102,0.3386030852975,0.355922686477591,0.32059838078903,0.376809942282853,0.381277227234807,0.365822180909926,0.368438320902274,0.362850552046706,0.373848785331043,0.38261990356592,0.389360403783625,0.390159708160385,0.403264203206978,0.44827204997504,0.455834119306466,0.440818682291638,0.452792005112047,0.478413322956706,0.468964872536113,0.446302186320081,0.442224705177519,0.430477847021144,0.441724092802279,0.482263904067921,0.46877903997379,0.473328503796933
20,Bermuda,0.19405238022395,0.181911206646254,0.149700104691074,0.154509834560575,0.148445657187363,0.143713543599871,0.144976846676576,0.134122515915996,0.128043374666834,0.126461191764762,0.113785982668377,0.105389285074601,0.107081872906356,0.108950576593219,0.113632131038842,0.112691138993527,0.114409379543349,0.123541542042717,0.119024121054794,0.113449536432865,0.137267824546362,0.10210199161741,0.121159761380155,0.128302263250228,0.162838097533182,0.13528938291439,0.163796776011096,0.132388650971548,0.129491378646243
21,Bhutan,0.699116445592225,0.71409041476803,0.668805886239539,0.636367619716004,0.629362706168423,0.722441932343828,0.715864444655986,0.691610594598548,0.651207063071885,0.634422931046295,0.588906485008203,0.538009357428397,0.505405578972047,0.458279704714276,0.42117375834692,0.466988612246873,0.436460536256163,0.351145927807702,0.343857324126564,0.374655435174121,0.359246477214001,0.369033069960336,0.34776852208712,0.334599228148922,0.316691146891975,0.313724188394395,0.297013004764198,0.271221479154835,0.279553950807565
